title,desc
Billie & Emma (2018),"Billie, a teenage rock star, moves to the province and meets Emma, a model and almost the perfect example of a good daughter. Together, they go through the experience of first love."
A Tale of Filipino Violence (2022),"With the imminent death of his autocratic grandfather, coinciding with the burgeoning oppressive regime of Ferdinand Marcos, Servando Monzon III, inheritor of the hacienda and businesses of his powerful clan, agonizes on becoming the new feudal lord and capitulating with Marcos’ designs to control the Philippines. He is aware of his clan’s long history of violence; he knows the very violent history of his county; and he foresees a very violent future with the Marcos dictatorship."
Autohystoria (2007),"Mix-mastering history, the paranoid thriller, the documentary and the landscape film, pic tells of very different fates for two sets of brothers in oppressive Philippine settings."
"Minsan, Minahal Kita (2000)","Experiencing problems in their marriages, Dianne and Albert unexpectedly meet and fall and love."
Wherever You Are (2005),"Two sisters Lilia and Trining decide to adopt and raise three children: Joven, Ito and Pilar. Now adults, adopted siblings Joven and Pilar end up falling in love with each other. Family drama ensues when more secrets are revealed and resistance is met."
The Affair (1982),"In a time in the Philippines when the concept of divorce does not exist, a young woman has an affair with a married man. Eventually, they move in together, and that is when the problems start."
Esprit de Corps (2014),"Many have been aspiring for the position of Major Mac Favila, who is every cadet's ideal officer considering he is sharp, snappy, witty, and most of all, the most masculine among the school's many officers. Private Abel Sarmiento, who was abused when he was a child and Cain Fujika, a Filipino-Japanese whose mother worked abroad as a japayuki are the top contenders for his position."
Pedicab (2016),A tragic-comic portrait of a dysfunctional family and the disquieting blind faith they invoke as they dream of going home.
Nunal sa Tubig (1976),"Ferry owner Benjamin has a regular passenger, Chedeng, who is studying to become a midwife. Chedeng has a friend and neighbour, Maria, and without either of them knowing about it they both have a relationship with Benjamin. When Mary finds out she’s pregnant, things get difficult."
Rain (2019),"In this coming-of-age-film about self-love, Maya is a girl who has always held a pessimistic view of the rain, reminding her of failed love and other depressing things. Will the rain ever stop her in her journey to overcome past heartaches?"
Butterflies Have No Memories (2009),"Ferding, Santos and Willy only drink in despair. One day, a Canadian woman’s visit changes everything."
Bituing Walang Ningning (1985),"Dorina Pineda is a Sampaguita vendor idolizing the most famous singing sensation in the country, Lavinia Arguilles. Lavina with her ego getting big, drives away her fans and even her boyfriend Nico Escobar. He later discovers Dorina as a wonderful singer and eventually falls in love with her. A simple die-hard fan at first, Dorina rose to the ranks and become the biggest singing star in the country, even becoming more famous than her idol Lavinia."
Nervous Translation (2017),"Eight year-old Yael, shy to a fault, lives in her own private world. One day she finds out about a pen that can ""translate"" the thoughts and feelings of nervous people."
Magic Temple (1996),"The magical world of ""Samadhi"" is threatened by the evil forces of Ravenal and Sifu sends out three teenage boys to journey on the Magic Temple. Jubal, Sambag, and Omar, each with their own unique power battle the threat to the world of Samadhi and along the way face many extraordinary things. The boys are sure to face a huge battle ahead of them but with the help of magical creatures they met along their journey, evil is eliminated and they learn the true value of camaraderie and believing in themselves to face any problem."
Tu Pug Imatuy (2017),"Set in an indigenous community in the hinterlands in Mindanao, a family goes up to the mountains to grieve and bury its youngest member who died from sickness."
Ma (2018),"After his mother dies suddenly, Samuel goes into a mysterious cave that claims to grant wishes and asks for his mother’s life back."
